route_id,source,target,tag,cout,cout_inverse
1,2,1,rue,0.4724790650878999,-1
2,7,2,rue,1.4683713825000613,-1
3,6,7,rue,0.8613904621681202,-1
4,2,3,rue,0.6875439575039426,-1
5,1,8,rue,0.6043178175418609,-1
6,8,3,rue,1.0191507292068789,-1
7,5,6,rue,0.8951854192637249,-1
8,5,24,rue,2.9424290917848355,-1
9,24,23,rue,0.3139133763144506,-1
10,13,6,rue,1.4835974440952546,-1
11,23,13,rue,2.0076339476472747,-1
12,3,4,rue,0.2784209450776676,-1
13,4,5,rue,1.7232804938643616,-1
14,8,9,rue,1.1418853475738797,-1
15,9,18,rue,0.6311994743759254,-1
16,18,19,rue,0.2075809185998858,-1
17,20,19,rue,0.31715710145170817,0.31715710145170817
18,19,22,rue,0.9064837676086585,-1
19,22,10,rue,1.1068051338270883,1.1068051338270883
20,11,10,rue,0.7679527816501328,-1
21,10,9,rue,0.604374344840844,-1
22,11,4,rue,1.931935399845448,-1
24,18,17,rue,1.1622285959713747,1.1622285959713747
25,7,12,rue,1.6971011570504397,1.6971011570504397
26,12,13,rue,1.6566400944740682,1.6566400944740682
27,12,14,rue,1.9283009734838303,1.9283009734838303
28,14,15,route,2.0800449520756015,2.0800449520756015
29,25,26,rue,0.9520434521545665,0.9520434521545665
30,28,27,rue,1.342586292478186,-1
31,31,32,rue,6.0565386319776,6.0565386319776
32,20,34,rue,1.3515727794005752,1.3515727794005752
33,34,17,rue,0.1904985927827315,0.1904985927827315
34,34,35,rue,0.10411441302493828,0.10411441302493828
35,35,36,rue,1.3310815862849723,1.3310815862849723
36,36,21,rue,1.9300535988372585,1.9300535988372585
37,21,31,rue,2.7593351794573255,2.7593351794573255
38,31,38,rue,2.817755116924807,2.817755116924807
39,32,33,rue,1.0735506915974717,1.0735506915974717
40,38,39,rue,5.15731013752864,5.15731013752864
42,24,45,rue,0.35876383460191047,0.35876383460191047
43,28,45,rue,2.9738482586995794,-1
44,27,26,rue,0.5229773076780291,0.5229773076780291
45,45,25,rue,3.8102867491510795,-1
46,27,46,rue,1.629464259461666,-1
47,46,28,rue,2.3773813523441385,-1
48,46,29,rue,1.201838607020632,1.201838607020632
49,29,47,rue,1.4324501967032064,1.4324501967032064
50,44,1,rue,0.9103366627061142,0.9103366627061142
51,44,16,rue,0.7608985558334495,0.7608985558334495
52,15,51,route,1.837412271112671,1.837412271112671
53,30,29,rue,1.473073626250529,1.473073626250529
55,41,38,chemin,6.110885817047111,6.110885817047111
57,41,39,rue,7.119829858201212,7.119829858201212
58,37,43,route,2.0656185715566076,2.0656185715566076
59,43,14,route,3.5571104679083305,3.5571104679083305
60,37,16,rue,0.6757992018670702,0.6757992018670702
61,17,16,rue,1.7555142571994546,1.7555142571994546
62,51,30,route,4.746747542392508,4.746747542392508
63,30,47,route,3.969985078749438,3.969985078749438
64,14,50,rue,4.122728965647637,4.122728965647637
65,50,52,route,6.036246145553013,6.036246145553013
66,52,51,route,2.2366863783949844,2.2366863783949844
67,22,56,rue,0.16538072794049605,-1
68,56,11,rue,1.593180939227805,-1
69,56,33,rue,0.9755174711144486,0.9755174711144486
70,21,57,chemin,2.4496029339031566,2.4496029339031566
71,57,20,chemin,1.019687894071969,1.019687894071969
72,57,32,chemin,0.9507739859232818,0.9507739859232818
73,43,55,chemin,1.460057423218209,1.460057423218209
74,55,44,chemin,2.498191877956107,2.498191877956107
75,55,12,chemin,1.5141040628957858,1.5141040628957858
76,15,23,chemin,3.210818753851835,3.210818753851835
77,46,54,rue,2.7522050805767106,2.7522050805767106
78,47,54,rue,1.1432001923525665,1.1432001923525665
79,54,49,rue,1.7898744479907263,1.7898744479907263
80,47,53,rue,10.674396837211937,10.674396837211937
81,53,48,rue,1.6521576592890936,1.6521576592890936
82,49,53,chemin,9.467996409768308,9.467996409768308
83,52,48,chemin,25.57342190057861,25.57342190057861
84,42,61,chemin,3.2458997476069418,3.2458997476069418
86,33,59,rue,2.2191801721073756,2.2191801721073756
87,58,40,chemin,6.541911274358464,6.541911274358464
88,10,8,chemin,1.2380414274545535,1.2380414274545535
89,3,7,chemin,1.6440705101162447,1.6440705101162447
90,59,39,chemin,14.922110741567035,14.922110741567035
91,61,50,chemin,11.304955856430384,11.304955856430384
92,58,41,chemin,13.417202394841894,13.417202394841894
93,39,40,rue,3.9470342945212122,3.9470342945212122
94,64,65,chemin,5.001655524383022,5.001655524383022
95,36,65,rue,3.4591923310881594,3.4591923310881594
97,41,67,chemin,3.5443197509615576,3.5443197509615576
98,67,42,chemin,4.90674377407429,4.90674377407429
99,67,61,chemin,8.339950773588813,8.339950773588813
100,65,60,chemin,3.3394852866319287,3.3394852866319287
102,60,62,chemin,1.6160830206595505,1.6160830206595505
103,37,62,route,3.1361804848432966,3.1361804848432966
104,62,42,route,1.4472055193973237,1.4472055193973237
105,9,44,rue,1.7096201376183264,1.7096201376183264
